point_no,lat_lng,label,adj,is_marker
150,"12.7528045381433,80.196379516559",Clock_Tower,"152,146,145,139,138",1
151,"12.7528771219531,80.195623871024",CT center 1,"144,143,137,136",0
152,"12.7526705372035,80.1970578802582",CT center 2,"153,151,150,147,140",0
153,"12.7525588697039,80.197684722577",CT center 3,"154,152,149,148,142,141",0
154,"12.7524611606001,80.1983487747653",Vama_Sundari_Park,"178,156,153,149,142",1
155,"12.7519749041791,80.1986332075371",PG_Ground,103,1
156,"12.7523852829547,80.1988221189334",Turn 1,"159,158,157,155,154",0
157,"12.7523518434029,80.1993021125418",Turn 2,"160,159,158,156",0
158,"12.7528634680618,80.1989215461809",TMB_Bank,"159,157,156",1
159,"12.7528534362156,80.1990964009954",SSN_School_Of_Management,"158,157,156",1
160,"12.752251524722,80.1999775322226",Turn 3,"157,161,105",0
161,"12.75235853132,80.2001215302623",Main audi pathway entrance,"163,162,160",0
162,"12.7529370349275,80.2001558155201",Justice_Pratab_Singh_Auditorium,"168,165,161",1
163,"12.752291652205,80.2004369546336",Turn 4,"169,164,161",0
164,"12.7528166527828,80.2004129549532",Main audi entrance,"165,163,162",0
165,"12.7531003175857,80.2004406040073",Guest house turn,"167,166,164",0
166,"12.7532774451629,80.2008229362737",Guest_House,165,1
167,"12.7533963070202,80.2004429935839",Main audi back turn,"168,165",0
168,"12.7532634614113,80.2000749987775",Main audi back entrance,"167,162",0
169,"12.7521534447852,80.20257407857",Turn 5,"171,170,163",0
170,"12.7524110718932,80.2025962815757",SSN_School_Of_Advanced_Career_Education,169,1
171,"12.7520666443335,80.2028945633181",temple turn,"174,172,169",0
172,"12.7523475367476,80.2028671351118",Temple,171,1
173,"12.752149624612,80.2032064288432",Bus_Parking,174,1
174,"12.7519207057139,80.203143458382",Turn 6,"176,175,173,171",0
175,"12.7518000494989,80.2034332773118",Main_Gate_1,"177,175,174",1
176,"12.7516090111487,80.2033441230056",Main_Gate_2,"177,175,174",1
177,"12.7518279182016,80.2035999250545",Main Gate_Car_Parking,"176,175",1
178,"12.7522872491562,80.1982210687827",turn 0,"154,142,102",0
179,"12.7512289882524,80.1970206652163",CSE IT entrance junction,"117,114,113,111,110",0
180,"12.750631699761,80.1985472569958",Gh-4 link road to main turn midway,"93,99",0
